block_id,selected_block,selected_reason_if_no
19942,Yes,
23825,Yes,
24770,Yes,
891,No,Low concentration of houses/business. Wasteland (open spaces).
8428,Yes,
35052,Yes,
9197,Yes,
9650,Yes,
16034,Yes,
23623,Yes,
29532,Yes,
37933,No,Empty real state. Industrial (cement factories)
36457,Yes,
1223,No,Dead-end street + slums
5482,Yes,
9372,No,Empty real state. Slums.
20881,Yes,
16856,No,Wasteland (open spaces/vegetation)
7225,Yes,
31774,Yes,
28560,Yes,
6558,Yes,
24622,Yes,
24908,Yes,
23529,Yes,
30240,Yes,
29413,Yes,
11189,Yes,
28115,Yes,
16622,Yes,
30554,Yes,
33118,Yes,
4297,No,"Wasteland (open spaces/vegetation), lake."
6024,Yes,
19194,Yes,
18364,Yes,
14374,Yes,
28904,Yes,
29666,Yes,
10774,No,Slums
37460,No,"Empty real state, dead-end streets, slums."
1047,No,"Empty real state, dead-end streets, slums."
8447,Yes,
31522,Yes,
2929,Yes,
16026,Yes,
29511,Yes,
27025,Yes,
10921,No,"Unsafe quarter, drug addicts concentration"
35074,Yes,
29230,Yes,
34563,Yes,
129,No,Low concentration of houses/business. Wasteland (open spaces).
12208,Yes,
21795,Yes,
37833,No,"Industrial area (quarry, mining)"
2713,Yes,
31708,Yes,
1739,No,"Purely residential area + green area, open spaces"
32358,Yes,
35556,No,Industrial quarter
12204,No,"Empty real state, slums."
21262,Yes,
30498,Yes,
9310,Yes,
16313,Yes,
7693,Yes,
34004,Yes,
26417,Yes,
17418,Yes,
24393,Yes,
20997,Yes,
4526,Yes,
25317,No,Slums
30206,Yes,
25108,Yes,
15363,Yes,
15803,Yes,
6012,Yes,
7685,No,"Open spaces, mostly residential, low end"
37525,No,Purely residential + open spaces
7503,Yes,
399,No,"Open spaces, green areas"
16613,Yes,
13790,Yes,
6043,Yes,
19081,No,Mostly buildings (residential complexes) + green/open areas
28759,Yes,
18262,Yes,
10640,Yes,
3993,Yes,
22442,Yes,
5884,Yes,
14953,Yes,
33378,Yes,
27498,Yes,
2421,No,"Open spaces, green areas"
30233,Yes,
7282,Yes,
2714,Yes,
36713,No,Mostly residential + open spaces
24924,Yes,
4065,Yes,
3215,No,"Purely residential, country houses, green area"
23017,Yes,
12416,Yes,
17049,Yes,
33995,Yes,
3628,Yes,
29517,Yes,
13985,Yes,
576,No,"Purely residential, country houses, green area"
878,No,"Slums, dead-end streets"
10142,Yes,
19127,Yes,
24761,Yes,
23420,Yes,
23189,Yes,
14341,Yes,
8163,Yes,
15749,Yes,
34192,Yes,
15218,Yes,
27939,Yes,
32877,Yes,
