city,country,block_id,block_category,block_observations1,block_observations,block_selected_partner
São Paulo,Brazil,129,5,Low concentration of houses/business. Wasteland (open spaces).,60% not-urban,yes
São Paulo,Brazil,399,5,"Open spaces, green areas",80% not-urban,yes
São Paulo,Brazil,576,5,"Purely residential, country houses, green area",80% not-urban,yes
São Paulo,Brazil,878,3,"Slums, dead-end streets",Insecure,no
São Paulo,Brazil,891,3,Low concentration of houses/business. Wasteland (open spaces).,Insecure,no
São Paulo,Brazil,1047,3,"Empty real state, dead-end streets, slums.",Insecure,no
São Paulo,Brazil,1223,3,Dead-end street + slums,Insecure,no
São Paulo,Brazil,1739,3,"Purely residential area + green area, open spaces",Insecure,no
São Paulo,Brazil,2421,5,"Open spaces, green areas",70% not-urban (and insecure),yes
São Paulo,Brazil,2713,4,,,yes
São Paulo,Brazil,2714,4,,,yes
São Paulo,Brazil,2929,5,,"Dead-end street, a bit insecure",yes
São Paulo,Brazil,3215,5,"Purely residential, country houses, green area","Very low (only country houses, unpaved roads)",yes
São Paulo,Brazil,3628,5,,"Very low (two big supermarkets, one gas station)",yes
São Paulo,Brazil,3993,5,,Residential (and a bit insecure),yes
São Paulo,Brazil,4065,4,,,yes
São Paulo,Brazil,4297,5,"Wasteland (open spaces/vegetation), lake.","80% not-urban, and much residential",yes
São Paulo,Brazil,4526,5,,,yes
São Paulo,Brazil,5482,5,,Very low (park + residential complex),yes
São Paulo,Brazil,5884,5,,Mostly residential,yes
São Paulo,Brazil,6012,5,,Mostly residential,yes
São Paulo,Brazil,6024,1,,Residential complex,no
São Paulo,Brazil,6043,5,,Mostly residential,yes
São Paulo,Brazil,6558,5,,Very low (residential),yes
São Paulo,Brazil,7225,4,,Mostly residential,yes
São Paulo,Brazil,7282,5,,Residential,yes
São Paulo,Brazil,7503,1,,Off-limits,no
São Paulo,Brazil,7685,3,"Open spaces, mostly residential, low end",Insecure,no
São Paulo,Brazil,7693,5,,Very low (residential),yes
São Paulo,Brazil,8163,5,,Very low (residential),yes
São Paulo,Brazil,8428,5,,Very low (residential),yes
São Paulo,Brazil,8447,5,,Very low (residential),yes
São Paulo,Brazil,9197,5,,Very low (residential),yes
São Paulo,Brazil,9310,1,,Airport,no
São Paulo,Brazil,9372,5,Empty real state. Slums.,Residential,yes
São Paulo,Brazil,9650,4,,,yes
São Paulo,Brazil,10142,5,,Residential,yes
São Paulo,Brazil,10640,5,,Very low (residential),yes
São Paulo,Brazil,10774,3,Slums,Insecure,no
São Paulo,Brazil,10921,5,"Unsafe quarter, drug addicts concentration",Residential,yes
São Paulo,Brazil,11189,5,,"80% not-urban, and residential",yes
São Paulo,Brazil,12204,3,"Empty real state, slums.",Insecure,no
São Paulo,Brazil,12208,5,,"Very low (rental car branches, car dealers)",yes
São Paulo,Brazil,12416,3,,Insecure,no
São Paulo,Brazil,13790,4,,,yes
São Paulo,Brazil,13985,4,,,yes
São Paulo,Brazil,14341,4,,,yes
São Paulo,Brazil,14374,5,,Road conjunction,yes
São Paulo,Brazil,14953,5,,"Industrial, warehouses",yes
São Paulo,Brazil,15218,5,,Residential,yes
São Paulo,Brazil,15363,4,,,yes
São Paulo,Brazil,15749,5,,"Municipal school, church",yes
São Paulo,Brazil,15803,5,,Corporate buildings,yes
São Paulo,Brazil,16026,5,,Residential,yes
São Paulo,Brazil,16034,4,,,yes
São Paulo,Brazil,16313,1,,Large construction material store,no
São Paulo,Brazil,16613,5,,90% residential,yes
São Paulo,Brazil,16622,5,,Residential complexes,yes
São Paulo,Brazil,16856,4,Wasteland (open spaces/vegetation),,yes
São Paulo,Brazil,17049,4,,,yes
São Paulo,Brazil,17418,4,,,yes
São Paulo,Brazil,18262,4,,,yes
São Paulo,Brazil,18364,5,,Residential,yes
São Paulo,Brazil,19081,1,Mostly buildings (residential complexes) + green/open areas,Residential complex,no
São Paulo,Brazil,19127,1,,Governmental,no
São Paulo,Brazil,19194,4,,,yes
São Paulo,Brazil,19942,3,,Insecure,no
São Paulo,Brazil,20881,5,,Very low (residential),yes
São Paulo,Brazil,20997,4,,,yes
São Paulo,Brazil,21262,4,,,yes
São Paulo,Brazil,21795,4,,,yes
São Paulo,Brazil,22442,5,,Road conjunction,yes
São Paulo,Brazil,23017,4,,,yes
São Paulo,Brazil,23189,5,,Residential,yes
São Paulo,Brazil,23420,5,,Residential,yes
São Paulo,Brazil,23529,5,,Residential,yes
São Paulo,Brazil,23623,1,,"Industrial, warehouses",no
São Paulo,Brazil,23825,5,,Very low (residential),yes
São Paulo,Brazil,24393,5,,Very low (residential),yes
São Paulo,Brazil,24622,5,,Very low (residential),yes
São Paulo,Brazil,24761,4,,,yes
São Paulo,Brazil,24770,5,,Very low (residential),yes
São Paulo,Brazil,24908,5,,Residential,yes
São Paulo,Brazil,24924,3,,Insecure,no
São Paulo,Brazil,25108,4,,,yes
São Paulo,Brazil,25317,5,Slums,Very low (and insecure),yes
São Paulo,Brazil,26417,5,,Residential,yes
São Paulo,Brazil,27025,1,,Train station/line,no
São Paulo,Brazil,27498,1,,"Industrial, warehouses",no
São Paulo,Brazil,27939,5,,Very low (residential),yes
São Paulo,Brazil,28115,5,,Very low (residential),yes
São Paulo,Brazil,28560,5,,Very low (residential),yes
São Paulo,Brazil,28759,1,,Governmental,no
São Paulo,Brazil,28904,5,,Residential,yes
São Paulo,Brazil,29230,2,,Park,no
São Paulo,Brazil,29413,5,,Residential,yes
São Paulo,Brazil,29511,5,,Very low (residential),yes
São Paulo,Brazil,29517,5,,Very low (residential),yes
São Paulo,Brazil,29532,5,,Very low (residential),yes
São Paulo,Brazil,29666,5,,Residential,yes
São Paulo,Brazil,30206,4,,,yes
São Paulo,Brazil,30233,4,,,yes
São Paulo,Brazil,30240,4,,Terminal Santana (central bus station),yes
São Paulo,Brazil,30498,4,,(Close to 30240 - Metrô Santana),yes
São Paulo,Brazil,30554,5,,Residential,yes
São Paulo,Brazil,31522,5,,Very low (residential),yes
São Paulo,Brazil,31708,5,,Very low (residential),yes
São Paulo,Brazil,31774,5,,Residential,yes
São Paulo,Brazil,32358,4,,,yes
São Paulo,Brazil,32877,5,,Very low (residential),yes
São Paulo,Brazil,33118,1,,"Industrial, warehouses",no
São Paulo,Brazil,33378,5,,Residential,yes
São Paulo,Brazil,33995,5,,Very low (residential),yes
São Paulo,Brazil,34004,4,,OK,yes
São Paulo,Brazil,34192,5,,Very low (residential),yes
São Paulo,Brazil,34563,5,,Very low (residential + highway),yes
São Paulo,Brazil,35052,5,,Very low (residential),yes
São Paulo,Brazil,35074,4,,,yes
São Paulo,Brazil,35556,5,Industrial quarter,Very low (residential + warehouse),yes
São Paulo,Brazil,36457,4,,,yes
São Paulo,Brazil,36713,5,Mostly residential + open spaces,Residential,yes
São Paulo,Brazil,37460,3,"Empty real state, dead-end streets, slums.",Insecure,no
São Paulo,Brazil,37525,2,Purely residential + open spaces,Mining area (some residential),no
São Paulo,Brazil,37833,1,"Industrial area (quarry, mining)",Mining area,no
São Paulo,Brazil,37933,1,Empty real state. Industrial (cement factories),"Industrial, warehouses",no
