city,country,block_id,block_category,block_observations,block_selected_partner
Addis Ababa,Ethiopia,12270,4,,Yes
Addis Ababa,Ethiopia,2510,4,,Yes
Addis Ababa,Ethiopia,3036,5,Vacant area.,Yes
Addis Ababa,Ethiopia,12358,5,,Yes
Addis Ababa,Ethiopia,9154,1,It is a factory area.,No
Addis Ababa,Ethiopia,11084,4,It’s a green area.,Yes
Addis Ababa,Ethiopia,14161,4,,Yes
Addis Ababa,Ethiopia,2953,5,It’s a residential area. No business outlets.,Yes
Addis Ababa,Ethiopia,8286,4,,Yes
Addis Ababa,Ethiopia,5679,5,,Yes
Addis Ababa,Ethiopia,670,4,,Yes
Addis Ababa,Ethiopia,5063,5,It’s a residential area.,Yes
Addis Ababa,Ethiopia,13426,5,It’s a residential area. No business outlets.,Yes
Addis Ababa,Ethiopia,10513,4,,Yes
Addis Ababa,Ethiopia,12211,4,It’s a green area.,Yes
Addis Ababa,Ethiopia,1988,5,It’s a residential area. No business outlets.,Yes
Addis Ababa,Ethiopia,11734,5,It’s a green area.,Yes
Addis Ababa,Ethiopia,8029,2,Vacant area.,No
Addis Ababa,Ethiopia,11186,4,,Yes
Addis Ababa,Ethiopia,1340,1,It is a factory area.,No
Addis Ababa,Ethiopia,1423,1,It is a factory area.,No
Addis Ababa,Ethiopia,9040,4,,Yes
Addis Ababa,Ethiopia,331,2,It’s a residential area. No business outlets.,No
Addis Ababa,Ethiopia,9461,5,It’s a residential area. No business outlets.,Yes
Addis Ababa,Ethiopia,13380,4,,Yes
Addis Ababa,Ethiopia,5082,2,There is no HH or business settlement.,No
Addis Ababa,Ethiopia,7632,4,,Yes
Addis Ababa,Ethiopia,10472,4,,Yes
Addis Ababa,Ethiopia,15172,5,It’s a residential area. No business outlets.,Yes
Addis Ababa,Ethiopia,9558,4,,Yes
Addis Ababa,Ethiopia,13987,2,It’s a green area.,No
Addis Ababa,Ethiopia,6316,1,Ring road.,No
Addis Ababa,Ethiopia,15203,5,It’s a green area.,Yes
Addis Ababa,Ethiopia,1795,4,,Yes
Addis Ababa,Ethiopia,11701,2,It’s a residential area. No business outlets.,No
Addis Ababa,Ethiopia,6098,5,,Yes
Addis Ababa,Ethiopia,9790,5,It’s a residential area. No business outlets.,Yes
Addis Ababa,Ethiopia,803,5,,Yes
Addis Ababa,Ethiopia,5881,2,There is no houses in the area.,No
Addis Ababa,Ethiopia,2377,5,Out of Addis Ababa.,Yes
Addis Ababa,Ethiopia,6927,5,It’s a green area.,Yes
Addis Ababa,Ethiopia,9732,4,,Yes
Addis Ababa,Ethiopia,4194,2,Vacant area.,No
Addis Ababa,Ethiopia,8554,5,,Yes
Addis Ababa,Ethiopia,4712,2,Vacant area.,No
Addis Ababa,Ethiopia,6537,5,It is a factory area.,Yes
Addis Ababa,Ethiopia,9526,5,,Yes
Addis Ababa,Ethiopia,15680,4,,Yes
Addis Ababa,Ethiopia,5618,4,residential and embassy area.,Yes
Addis Ababa,Ethiopia,14632,5,,Yes
Addis Ababa,Ethiopia,13714,5,,Yes
Addis Ababa,Ethiopia,6235,5,,Yes
Addis Ababa,Ethiopia,2113,4,It’s a green area.,Yes
Addis Ababa,Ethiopia,7278,5,It’s a green area.,Yes
Addis Ababa,Ethiopia,10392,4,,Yes
Addis Ababa,Ethiopia,3143,4,,Yes
Addis Ababa,Ethiopia,7043,5,,Yes
Addis Ababa,Ethiopia,12574,5,,Yes
Addis Ababa,Ethiopia,13197,4,,Yes
Addis Ababa,Ethiopia,7136,4,,Yes
Addis Ababa,Ethiopia,1172,5,It is a factory area.,Yes
Addis Ababa,Ethiopia,7411,5,It’s a residential area. No business outlets.,Yes
Addis Ababa,Ethiopia,3960,4,It is a factory area.,Yes
Addis Ababa,Ethiopia,619,5,It is a factory area.,Yes
Addis Ababa,Ethiopia,15686,5,,Yes
Addis Ababa,Ethiopia,5057,4,,Yes
Addis Ababa,Ethiopia,6454,1,Vacant area.,No
Addis Ababa,Ethiopia,8791,2,It’s a green area.,No
Addis Ababa,Ethiopia,11623,4,,Yes
Addis Ababa,Ethiopia,7757,4,,Yes
