si_no,block_id,selected_block,selected_reason_if_no,zone
1,8219,Yes,,West
2,3615,Yes,,South
3,26790,No,In this area both the formal/ informal MSEs are not available. Railway Line is covering area in between.,North
4,15378,Yes,,West
5,10275,Yes,,East
6,1768,No,"There is Bungalow/ villas and forest area, there is no MSEs available.",South
7,6429,No,"It is nearby Airport and forest Area, no MSE's are to be found there",West
8,23978,Yes,,North
9,26786,Yes,,North
10,21077,No,"In this area both the formal/ informal MSEs are not available.Water treatment plant, forest area, there is no residence and market complex.",North
11,1847,Yes,,South
12,27989,Yes,,North
13,22896,Yes,,East
14,24824,Yes,,North
15,22180,No,In this area both the formal/ informal MSEs are not available.,North
16,24225,Yes,,North
17,9701,Yes,,West
18,18115,Yes,,North
19,1384,Yes,,South
20,17009,Yes,,West
21,20280,Yes,,North
22,28225,Yes,,North
23,17505,Yes,,East
24,2055,No,In this area both the formal/ informal MSEs are not available.,South
25,26587,Yes,,North
26,19499,Yes,,West
27,22121,Yes,,North
28,4874,Yes,,South
29,22789,Yes,,North
30,29968,Yes,,North
31,29296,Yes,,North
32,24500,Yes,,West
33,22264,No,In this area both the formal/ informal MSEs are not available. Open space/plots area is most of the area.,West
34,6053,Yes,,South
35,12793,Yes,,West
36,18713,Yes,,West
37,26070,Yes,,North
38,16029,Yes,,West
39,23657,Yes,,East
40,7223,No,In this area both the formal/ informal MSEs are not available.,West
41,3407,No,In this area both the formal/ informal MSEs are not available. Newly constructed colonies as no MSEs are there.,West
42,27360,Yes,,North
43,14653,Yes,,East
44,4075,No,In this area both the formal/ informal MSEs are not available as its an Airport area.,West
45,19100,Yes,,North
46,26603,Yes,,North
47,8938,Yes,,South
48,21182,Yes,,North
49,5088,No,In this area both the formal/ informal MSEs are not available. There is assian games village.,South
50,27812,Yes,,North
51,6501,Yes,,South
52,11122,Yes,,West
53,3748,Yes,,South
54,7140,Yes,,South
55,7808,No,In this area both the formal/ informal MSEs are not available. This is a Cantonment area.,West
56,10763,No,In this area both the formal/ informal MSEs are not available. Sports stadium is covering major area.,West
57,17048,Yes,,East
58,4914,Yes,,South
59,10544,No,In this area both the formal/ informal MSEs are not available.,South
60,20152,Yes,,North
61,21549,Yes,,North
62,27277,Yes,,North
63,19934,Yes,,North
64,15914,Yes,,West
65,1554,No,In this area both the formal/ informal MSEs are not available.,South
66,16892,Yes,,East
67,12060,Yes,,East
68,21375,Yes,,North
69,29455,No,In this area both the formal/ informal MSEs are not available.,North
70,16320,Yes,,West
71,20196,Yes,,West
72,23733,Yes,,North
73,29478,No,"In this area both the formal/ informal MSEs are not available majorly playgrounds , parks and forest area is covering this block.",North
74,7643,No,In this area both the formal/ informal MSEs are not available. This is a Cantonment area.,West
75,2730,Yes,,South
76,16307,Yes,,West
77,17920,Yes,,South
78,14270,Yes,,East
79,8433,Yes,,South
80,26301,Yes,,North
81,13688,No,"In this area both the formal/ informal MSEs are not available. There is mosque, Delhi Police headquarter, PWD headquarter.",South
82,17906,Yes,,West
83,13334,Yes,,South
84,12182,Yes,,South
85,5560,No,In this area both the formal/ informal MSEs are not available.,West
86,3554,Yes,,West
87,15115,Yes,,West
88,22654,Yes,,North
89,11174,Yes,,West
90,3254,Yes,,South
91,16576,Yes,,East
92,20825,Yes,,North
93,22002,Yes,,North
94,18167,Yes,,East
95,22242,Yes,,East
96,20459,Yes,,North
97,3036,Yes,,South
98,5283,Yes,,South
99,3032,Yes,,South
100,28209,No,"There is no any formal MSEs, newly constructed area.",North
101,25768,Yes,,North
102,19317,Yes,,East
103,5697,Yes,,South
104,15788,Yes,,East
105,14472,No,In this area formal MSEs aren't available.,East
106,5895,Yes,,West
107,5151,No,In this area both the formal/ informal MSEs are not available.,West
108,26333,Yes,,North
109,27052,Yes,,North
110,12737,Yes,,East
111,21340,Yes,,North
112,13508,Yes,,South
113,22148,Yes,,North
114,10232,No,In this area both the formal/ informal MSEs are not available. This is a Cantonment area.,West
115,26884,Yes,,North
116,30167,Yes,,West
117,16799,Yes,,North
118,5444,No,In this area both the formal/ informal MSEs are not available as its an Airport area.,South
119,1370,Yes,,South
120,3929,Yes,,West
121,25358,Yes,,East
122,23279,Yes,,North
123,17666,Yes,,East
124,9675,No,This is a high End Area where Bungalow/ villas are present of government officials.,West
125,1602,No,In this area both the formal/ informal MSEs are not available its a Forest area.,South
