city,country,block_id,block_category,block_observations,block_selected_partner
Delhi,India,8219,5,,Yes
Delhi,India,3615,4,,Yes
Delhi,India,26790,1,In this area both the formal/ informal MSEs are not available. Railway Line is covering area in between.,No
Delhi,India,15378,4,,Yes
Delhi,India,10275,5,,Yes
Delhi,India,1768,3,"There is Bungalow/ villas and forest area, there is no MSEs available.",No
Delhi,India,6429,1,"It is nearby Airport and forest Area, no MSE's are to be found there",No
Delhi,India,23978,4,,Yes
Delhi,India,26786,4,,Yes
Delhi,India,21077,1,"In this area both the formal/ informal MSEs are not available.Water treatment plant, forest area, there is no residence and market complex.",No
Delhi,India,1847,4,,Yes
Delhi,India,27989,5,,Yes
Delhi,India,22896,5,,Yes
Delhi,India,24824,5,,Yes
Delhi,India,22180,1,In this area both the formal/ informal MSEs are not available.,No
Delhi,India,24225,5,,Yes
Delhi,India,9701,4,,Yes
Delhi,India,18115,5,,Yes
Delhi,India,1384,4,,Yes
Delhi,India,17009,4,,Yes
Delhi,India,20280,4,,Yes
Delhi,India,28225,4,,Yes
Delhi,India,17505,4,,Yes
Delhi,India,2055,3,In this area both the formal/ informal MSEs are not available.,No
Delhi,India,26587,4,,Yes
Delhi,India,19499,4,,Yes
Delhi,India,22121,4,,Yes
Delhi,India,4874,5,,Yes
Delhi,India,22789,4,,Yes
Delhi,India,29968,4,,Yes
Delhi,India,29296,5,,Yes
Delhi,India,24500,4,,Yes
Delhi,India,22264,2,In this area both the formal/ informal MSEs are not available. Open space/plots area is most of the area.,No
Delhi,India,6053,5,,Yes
Delhi,India,12793,4,,Yes
Delhi,India,18713,4,,Yes
Delhi,India,26070,5,,Yes
Delhi,India,16029,4,,Yes
Delhi,India,23657,4,,Yes
Delhi,India,7223,1,In this area both the formal/ informal MSEs are not available.,No
Delhi,India,3407,1,In this area both the formal/ informal MSEs are not available. Newly constructed colonies as no MSEs are there.,No
Delhi,India,27360,5,,Yes
Delhi,India,14653,5,,Yes
Delhi,India,4075,1,In this area both the formal/ informal MSEs are not available as its an Airport area.,No
Delhi,India,19100,5,,Yes
Delhi,India,26603,5,,Yes
Delhi,India,8938,4,,Yes
Delhi,India,21182,4,,Yes
Delhi,India,5088,2,In this area both the formal/ informal MSEs are not available. There is assian games village.,No
Delhi,India,27812,5,,Yes
Delhi,India,6501,4,,Yes
Delhi,India,11122,5,,Yes
Delhi,India,3748,5,,Yes
Delhi,India,7140,4,,Yes
Delhi,India,7808,1,In this area both the formal/ informal MSEs are not available. This is a Cantonment area.,No
Delhi,India,10763,3,In this area both the formal/ informal MSEs are not available. Sports stadium is covering major area.,No
Delhi,India,17048,4,,Yes
Delhi,India,4914,5,,Yes
Delhi,India,10544,1,In this area both the formal/ informal MSEs are not available.,No
Delhi,India,20152,4,,Yes
Delhi,India,21549,4,,Yes
Delhi,India,27277,5,,Yes
Delhi,India,19934,4,,Yes
Delhi,India,15914,4,,Yes
Delhi,India,1554,1,In this area both the formal/ informal MSEs are not available.,No
Delhi,India,16892,4,,Yes
Delhi,India,12060,5,,Yes
Delhi,India,21375,5,,Yes
Delhi,India,29455,1,In this area both the formal/ informal MSEs are not available.,No
Delhi,India,16320,4,,Yes
Delhi,India,20196,5,,Yes
Delhi,India,23733,4,,Yes
Delhi,India,29478,1,"In this area both the formal/ informal MSEs are not available majorly playgrounds , parks and forest area is covering this block.",No
Delhi,India,7643,1,In this area both the formal/ informal MSEs are not available. This is a Cantonment area.,No
Delhi,India,2730,4,,Yes
Delhi,India,16307,4,,Yes
Delhi,India,17920,5,,Yes
Delhi,India,14270,4,,Yes
Delhi,India,8433,4,,Yes
Delhi,India,26301,5,,Yes
Delhi,India,13688,1,"In this area both the formal/ informal MSEs are not available. There is mosque, Delhi Police headquarter, PWD headquarter.",No
Delhi,India,17906,5,,Yes
Delhi,India,13334,4,,Yes
Delhi,India,12182,4,,Yes
Delhi,India,5560,1,In this area both the formal/ informal MSEs are not available.,No
Delhi,India,3554,4,,Yes
Delhi,India,15115,4,,Yes
Delhi,India,22654,5,,Yes
Delhi,India,11174,5,,Yes
Delhi,India,3254,5,,Yes
Delhi,India,16576,4,,Yes
Delhi,India,20825,4,,Yes
Delhi,India,22002,4,,Yes
Delhi,India,18167,5,,Yes
Delhi,India,22242,5,,Yes
Delhi,India,20459,4,,Yes
Delhi,India,3036,4,,Yes
Delhi,India,5283,5,,Yes
Delhi,India,3032,5,,Yes
Delhi,India,28209,1,"There is no any formal MSEs, newly constructed area.",No
Delhi,India,25768,4,,Yes
Delhi,India,19317,4,,Yes
Delhi,India,5697,4,,Yes
Delhi,India,15788,4,,Yes
Delhi,India,14472,1,In this area formal MSEs aren't available.,No
Delhi,India,5895,4,,Yes
Delhi,India,5151,1,In this area both the formal/ informal MSEs are not available.,No
Delhi,India,26333,4,,Yes
Delhi,India,27052,5,,Yes
Delhi,India,12737,5,,Yes
Delhi,India,21340,5,,Yes
Delhi,India,13508,4,,Yes
Delhi,India,22148,4,,Yes
Delhi,India,10232,1,In this area both the formal/ informal MSEs are not available. This is a Cantonment area.,No
Delhi,India,26884,5,,Yes
Delhi,India,30167,5,,Yes
Delhi,India,16799,4,,Yes
Delhi,India,5444,1,In this area both the formal/ informal MSEs are not available as its an Airport area.,No
Delhi,India,1370,4,,Yes
Delhi,India,3929,4,,Yes
Delhi,India,25358,4,,Yes
Delhi,India,23279,5,,Yes
Delhi,India,17666,5,,Yes
Delhi,India,9675,1,This is a high End Area where Bungalow/ villas are present of government officials.,No
Delhi,India,1602,1,In this area both the formal/ informal MSEs are not available its a Forest area.,No
