city,country,block_id,block_category,block_observations,block_selected_partner
Jakarta,Indonesia,23582,4,,Yes
Jakarta,Indonesia,17491,5,3,Yes
Jakarta,Indonesia,861,5,3,Yes
Jakarta,Indonesia,9136,5,3,Yes
Jakarta,Indonesia,26105,4,,Yes
Jakarta,Indonesia,9717,4,,Yes
Jakarta,Indonesia,26130,4,,Yes
Jakarta,Indonesia,23444,4,,Yes
Jakarta,Indonesia,6345,4,,Yes
Jakarta,Indonesia,20138,5,2,Yes
Jakarta,Indonesia,20186,4,,Yes
Jakarta,Indonesia,4426,4,,Yes
Jakarta,Indonesia,12740,4,,Yes
Jakarta,Indonesia,8289,4,,Yes
Jakarta,Indonesia,6463,4,,Yes
Jakarta,Indonesia,211,5,3,Yes
Jakarta,Indonesia,21436,4,,Yes
Jakarta,Indonesia,2749,4,,Yes
Jakarta,Indonesia,10908,4,,Yes
Jakarta,Indonesia,1296,4,,Yes
Jakarta,Indonesia,3735,4,,Yes
Jakarta,Indonesia,18033,5,3,Yes
Jakarta,Indonesia,3357,4,,Yes
Jakarta,Indonesia,1755,4,,Yes
Jakarta,Indonesia,9408,4,,Yes
Jakarta,Indonesia,18303,4,,Yes
Jakarta,Indonesia,20104,4,,Yes
Jakarta,Indonesia,19047,4,,Yes
Jakarta,Indonesia,20598,4,,Yes
Jakarta,Indonesia,23184,4,,Yes
Jakarta,Indonesia,16723,5,3,Yes
Jakarta,Indonesia,8621,4,,Yes
Jakarta,Indonesia,7834,4,,Yes
Jakarta,Indonesia,16098,4,,Yes
Jakarta,Indonesia,15884,4,,Yes
Jakarta,Indonesia,12226,4,,Yes
Jakarta,Indonesia,17671,4,,Yes
Jakarta,Indonesia,9762,4,,Yes
Jakarta,Indonesia,20956,4,,Yes
Jakarta,Indonesia,16800,5,3,Yes
Jakarta,Indonesia,8353,4,,Yes
Jakarta,Indonesia,14504,5,2,Yes
Jakarta,Indonesia,13861,4,,Yes
Jakarta,Indonesia,9947,4,,Yes
Jakarta,Indonesia,21497,4,,Yes
Jakarta,Indonesia,1042,5,3,Yes
Jakarta,Indonesia,5299,4,,Yes
Jakarta,Indonesia,7795,4,,Yes
Jakarta,Indonesia,9477,5,3,Yes
Jakarta,Indonesia,22167,4,,Yes
Jakarta,Indonesia,17050,5,3,Yes
Jakarta,Indonesia,9012,5,2,Yes
Jakarta,Indonesia,19757,5,2,Yes
Jakarta,Indonesia,24951,4,,Yes
Jakarta,Indonesia,12789,4,,Yes
Jakarta,Indonesia,7749,4,,Yes
Jakarta,Indonesia,10801,4,,Yes
Jakarta,Indonesia,23525,4,,Yes
Jakarta,Indonesia,8801,4,,Yes
Jakarta,Indonesia,11966,4,,Yes
Jakarta,Indonesia,9397,4,,Yes
Jakarta,Indonesia,9140,5,2,Yes
Jakarta,Indonesia,10349,4,,Yes
Jakarta,Indonesia,3047,4,,Yes
Jakarta,Indonesia,15086,4,,Yes
Jakarta,Indonesia,14130,4,,Yes
Jakarta,Indonesia,23124,5,3,Yes
Jakarta,Indonesia,26164,4,,Yes
Jakarta,Indonesia,8625,4,,Yes
Jakarta,Indonesia,15192,4,,Yes
Jakarta,Indonesia,9565,4,,Yes
Jakarta,Indonesia,23928,5,2,Yes
Jakarta,Indonesia,25299,4,,Yes
Jakarta,Indonesia,229,4,,Yes
Jakarta,Indonesia,19492,5,3,Yes
Jakarta,Indonesia,19931,4,,Yes
Jakarta,Indonesia,16239,5,3,Yes
Jakarta,Indonesia,7319,4,,Yes
Jakarta,Indonesia,2949,4,,Yes
Jakarta,Indonesia,13556,4,,Yes
Jakarta,Indonesia,24523,4,,Yes
Jakarta,Indonesia,16610,4,,Yes
Jakarta,Indonesia,5758,4,,Yes
Jakarta,Indonesia,1707,4,,Yes
Jakarta,Indonesia,21250,5,2,Yes
Jakarta,Indonesia,21651,4,,Yes
Jakarta,Indonesia,21804,4,,Yes
Jakarta,Indonesia,19597,4,,Yes
Jakarta,Indonesia,9419,4,,Yes
Jakarta,Indonesia,7207,4,,Yes
Jakarta,Indonesia,8409,5,2,Yes
Jakarta,Indonesia,22262,4,,Yes
Jakarta,Indonesia,14945,5,3,Yes
Jakarta,Indonesia,20713,5,2,Yes
Jakarta,Indonesia,26176,4,,Yes
Jakarta,Indonesia,25700,4,,Yes
Jakarta,Indonesia,2387,4,,Yes
Jakarta,Indonesia,26014,4,,Yes
Jakarta,Indonesia,21430,4,,Yes
Jakarta,Indonesia,23300,4,,Yes
Jakarta,Indonesia,6033,4,,Yes
Jakarta,Indonesia,13800,4,,Yes
Jakarta,Indonesia,5791,4,,Yes
Jakarta,Indonesia,2115,4,,Yes
Jakarta,Indonesia,9919,4,,Yes
Jakarta,Indonesia,14156,4,,Yes
Jakarta,Indonesia,17600,5,3,Yes
Jakarta,Indonesia,22805,4,,Yes
Jakarta,Indonesia,4965,4,,Yes
Jakarta,Indonesia,24433,4,,Yes
Jakarta,Indonesia,24817,4,,Yes
Jakarta,Indonesia,7552,4,,Yes
Jakarta,Indonesia,9751,5,1,Yes
Jakarta,Indonesia,24868,4,,Yes
Jakarta,Indonesia,12115,4,,Yes
Jakarta,Indonesia,6421,4,,Yes
Jakarta,Indonesia,1269,4,,Yes
Jakarta,Indonesia,6123,4,,Yes
Jakarta,Indonesia,16760,4,,Yes
Jakarta,Indonesia,12405,4,,Yes
Jakarta,Indonesia,10414,4,,Yes
Jakarta,Indonesia,3916,4,,Yes
Jakarta,Indonesia,22813,4,,Yes
Jakarta,Indonesia,18058,4,,Yes
Jakarta,Indonesia,16198,4,,Yes
